ESTABLECIMIENTOS;DIRECCION;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
UBA FACULTAD DE DERECHO Y CS. SOCIALES;FIGUEROA ALCORTA, PRES. AV. 2263;FIGUEROA ALCORTA, PRES. AV.;2263;RECOLETA;COMUNA 2;1425;C1425CKB;-34.58328949628744;-58.392372941256745
ESCUELA Nº3 DE 1 O. LEGUIZAMON;SANTA FE AV. 1510;SANTA FE AV.;1510;RECOLETA;COMUNA 2;1060;C1060ABO;-34.59584805779651;-58.38862657032654
ESCUELA Nº23 DE 6 PROV. DE ENTRE RIOS;BOEDO AV. 1935;BOEDO AV.;1935;BOEDO;COMUNA 5;1239;C1239AAJ;-34.636565639873766;-58.41630115646019
ESCUELA Nº 20 DE 2 R. PEÑALOZA;PRINGLES 1165;PRINGLES;1165;ALMAGRO;COMUNA 5;1183;C1183AEU;-34.59846584527793;-58.42646498274582
ESCUELA Nº 30 DR. E. GASCON;SAN BLAS 5387;SAN BLAS;5387;VILLA LURO;COMUNA 10;1407;C1407FUO;-34.63059129084878;-58.50888963108157
ESCUELA Nº2 REPUBLICA DE PANAMA;SAN MARTIN AV. 6387;SAN MARTIN AV.;6387;VILLA DEVOTO;COMUNA 11;1419;C1419ICA;-34.593938604045455;-58.50485047702788
INSTITUTO SAN MARIA DE LOS ANGELES;PEDRAZA, MANUELA 3950;PEDRAZA, MANUELA;3950;COGHLAN;COMUNA 12;1430;C1430AOL;-34.55908571355813;-58.47999666399911
ESCUELA Nº12 DE 9 R. CASTILLA;CONDE 943;CONDE;943;COLEGIALES;COMUNA 13;1426;C1426AYS;-34.57653930780401;-58.452344950885035
INST. A. TOGNINI;SANTA FE AV. 4320;SANTA FE AV.;4320;PALERMO;COMUNA 14;1425;C1425BHS;-34.58044638194759;-58.42293960833968
INST. VOCACIONAL ARGENTINO;CHARCAS 3034;CHARCAS;3034;RECOLETA;COMUNA 2;1425;C1425BML;-34.592961424573964;-58.40887696287597
